1753,Uruguay,ury,Latin America & Caribbean ,High income,Montevideo,-56.0675,-34.8941
1771,Fiji,fji,East Asia & Pacific,Upper middle income,Suva,178.399,-18.1149
1782,Eritrea,eri,Sub-Saharan Africa ,Low income,Asmara,38.9183,15.3315
1789,Belize,blz,Latin America & Caribbean ,Upper middle income,Belmopan,-88.7713,17.2534
1917,North Macedonia,mkd,Europe & Central Asia,Upper middle income,Skopje,21.4361,42.0024
1926,Namibia,nam,Sub-Saharan Africa ,Upper middle income,Windhoek,17.0931,-22.5648
1937,Bangladesh,bgd,South Asia,Lower middle income,Dhaka,90.4113,23.7055
1963,Nauru,nru,East Asia & Pacific,Upper middle income,Yaren District,166.920867,-0.5477
2012,Uzbekistan,uzb,Europe & Central Asia,Lower middle income,Tashkent,69.269,41.3052
2038,Burkina Faso,bfa,Sub-Saharan Africa ,Low income,Ouagadougou,-1.53395,12.3605
2137,Turkmenistan,tkm,Europe & Central Asia,Upper middle income,Ashgabat,58.3794,37.9509
2152,Tuvalu,tuv,East Asia & Pacific,Upper middle income,Funafuti,179.089567,-8.6314877
2246,Aruba,,Latin America & Caribbean ,High income,Oranjestad,-70.0167,12.5167
2294,Serbia,srb,Europe & Central Asia,Upper middle income,Belgrade,20.4656,44.8024
2327,Austria,aut,Europe & Central Asia,High income,Vienna,16.3798,48.2201
2329,Slovak Republic,svk,Europe & Central Asia,High income,Bratislava,17.1073,48.1484
2382,Switzerland,che,Europe & Central Asia,High income,Bern,7.44821,46.948
2406,Niger,ner,Sub-Saharan Africa ,Low income,Niamey,2.1073,13.514
2409,Kazakhstan,kaz,Europe & Central Asia,Upper middle income,Astana,71.4382,51.1879
2410,Kyrgyz Republic,kgz,Europe & Central Asia,Lower middle income,Bishkek,74.6057,42.8851
2414,Lesotho,lso,Sub-Saharan Africa ,Lower middle income,Maseru,27.7167,-29.5208
2434,Estonia,est,Europe & Central Asia,High income,Tallinn,24.7586,59.4392
2459,Faroe Islands,fro,Europe & Central Asia,High income,Torshavn,-6.91181,61.8926
2468,Guam,gum,East Asia & Pacific,High income,Agana,144.794,13.4443
2476,New Zealand,nzl,East Asia & Pacific,High income,Wellington,174.776,-41.2865
2518,France,fra,Europe & Central Asia,High income,Paris,2.35097,48.8566
2557,Portugal,prt,Europe & Central Asia,High income,Lisbon,-9.13552,38.7072
2575,Moldova,mda,Europe & Central Asia,Lower middle income,Chisinau,28.8497,47.0167
2585,Lebanon,lbn,Middle East & North Africa,Upper middle income,Beirut,35.5134,33.8872
2598,Armenia,arm,Europe & Central Asia,Upper middle income,Yerevan,44.509,40.1596
2621,Jordan,jor,Middle East & North Africa,Upper middle income,Amman,35.9263,31.9497
2645,Netherlands,nld,Europe & Central Asia,High income,Amsterdam,4.89095,52.3738
2650,Belgium,bel,Europe & Central Asia,High income,Brussels,4.36761,50.8371
2652,Luxembourg,lux,Europe & Central Asia,High income,Luxembourg,6.1296,49.61
2678,Albania,alb,Europe & Central Asia,Upper middle income,Tirane,19.8172,41.3317
2711,Barbados,brb,Latin America & Caribbean ,High income,Bridgetown,-59.6105,13.0935
2723,Monaco,mco,Europe & Central Asia,High income,Monaco,7.41891,43.7325
2757,San Marino,smr,Europe & Central Asia,High income,San Marino,12.4486,43.9322
2761,Slovenia,svn,Europe & Central Asia,High income,Ljubljana,14.5044,46.0546
2777,Bosnia and Herzegovina,bih,Europe & Central Asia,Upper middle income,Sarajevo,18.4214,43.8607
2797,Czech Republic,cze,Europe & Central Asia,High income,Prague,14.4205,50.0878
2801,Montenegro,mne,Europe & Central Asia,Upper middle income,Podgorica,19.2595,42.4602
2809,Denmark,dnk,Europe & Central Asia,High income,Copenhagen,12.5681,55.6763
