ID,Name,Countries,Country Codes,ISO639-3 Codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
832,Southeastern Pomo,United States of America,USA,pom,Extinct,0,39.016,-122.6779,
2608,Piru,Indonesia,IDN,ppr,Extinct,0,-3.05,128.1747,"Seram Island, Maluku"
2044,Papora,China,CHN,ppu,Extinct,0,24.2006,120.6037,Taiwan Province
2045,Hoanya,China,CHN,ppu,Extinct,0,23.5665,120.3826,Taiwan Province
2399,Pentlatch,Canada,CAN,ptw,Extinct,0,49.6971,-125.0033,
601,Gününa Küne,Argentina,ARG,pue,Extinct,0,-43.4848,-68.1591,
853,Purisimeño,United States of America,USA,puy,Extinct,0,34.6608,-120.4711,
1549,Quapaw,United States of America,USA,qua,Extinct,0,36.9494,-94.7877,"Northeastern Oklahoma; Quapaw, OK. "
791,Quileute,United States of America,USA,qui,Extinct,0,47.9083,-124.6365,"Quileute Reservation (at La Push) and Lower Hoh River Reservation, WA."
443,Rangkas,India,IND,rgk,Extinct,0,30.0358,80.1342,
1291,Sened,Tunisia,TUN,sds,Extinct,0,35.5858,10.8984,"The language used to be spoken in Sened and Tmagourt villages, northwest of Gabès, Southern of Tunisai."
866,Serrano,United States of America,USA,ser,Extinct,0,34.1212,-117.2221,"San Manuel Reservation near San Bernardino, CA."
108,Singa,Uganda,UGA,sgm,Extinct,0,-0.1373,33.695,
129,Deti,Botswana,BWA,shg,Extinct,0,-20.9614,24.461,Pointer at settlement of previous Deti speakers.
827,New River Shasta,United States of America,USA,sht,Extinct,0,45.2835,-121.7134,
828,Konomihu,United States of America,USA,sht,Extinct,0,41.2583,-123.3216,"Along the Salmon River, around Forks of Salmon, CA."
329,Akkala Saami,Russian Federation,RUS,sia,Extinct,0,67.5809,31.668,"earlier spoken in the village of Babino in southern Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County"
2161,Sishee,New Caledonia (France),NCL,sih,Extinct,0,-21.7193,165.6738,Bourail region
806,Siuslaw,United States of America,USA,sis,Extinct,0,43.3773,-124.2371,
1288,Sanhaja of Srair,Morocco,MAR,sjs,Critically endangered,0,34.8318,-4.9658," Northern Morocco, west of Tarifit area"
838,Antoniano,United States of America,USA,sln,Extinct,0,35.9717,-121.1757,"Mission San Antonio de Padua, near Jolon in southern Monterey County, CA."
